ad_id	watch_id	skip_dur
9NPMkhwfvDY	KUpvW906p94	5.9
y-8zugipO5E	mug2fJd3vmc	5.9
y-8zugipO5E	21HzjHNjyqI	5.9
5uit9k0gRoE	PNu_-deVemE	8.4
SjhTcNGbZH0	hhn2gGxTGhs	11.0
0FVqEeHi5Jk	9DLtzc9KLiw	12.2
5uit9k0gRoE	eb9xuYKJVeo	nan
l9MkjSMvVAQ	JFsPCJatbL8	nan
-XMBEFABOUM	9sY-TsLXiDo	5.6
vAL02wPdU-M	avn4eRRAqCA	8.9
0FVqEeHi5Jk	q4ldFG_0EBk	52.1
5uit9k0gRoE	AGZkt5euwiM	6.8
5uit9k0gRoE	DN_g9h2JNlQ	6.5
nf2Z7aCbpwo	e91E9d7V8Mw	nan
Qv872Cm4Mzs	bIhKWPDuppY	33.4
FJfgmq49k7A	fvEZUbzqqyM	5.7
5uit9k0gRoE	bpUPZHnzif8	6.2
39cbbedhU2g	yfifwcg8IJ4	6.5
WVgYOaERNj4	nlcIKh6sBtc	16.8
m8bu92ZKvuE	RKm9Wa5RblU	27.2
L_XYEV1-_RQ	moSFlvxnbgk	nan
y-__cQLxkYc	79be-ldnyPc	6.5
5uit9k0gRoE	37q4z-d1Z58	5.7
-XMBEFABOUM	f2JuxM-snGc	14.3
SH7YS24rto8	CMk0w0EGq88	100.2
nf2Z7aCbpwo	HMTyC7MFIBE	9.1
y-8zugipO5E	N_JJ5p-vv8k	6.3
0tib2AAa9RA	UH1EN_s8Y0Q	5.6
5uit9k0gRoE	B1zCN0YhW1s	9.5
JOPocePQVUA	Xo_UUsdpte4	5.6
y-8zugipO5E	0HtS3gagTNo	5.5
5uit9k0gRoE	0NVOuj5Myvw	66.4
4BD7TdTGYSs	OtqowCdoRQU	nan
5uit9k0gRoE	0dqWoZs3erM	5.9
nBRXWkcXLAY	8SNZr8x4DpI	6.0
PWrqLmPyWeU	ONLRy3dS3S8	30.2
TOn04wCFXMA	lsoyRKsESjE	6.0
y-8zugipO5E	3nbkzvGGk64	6.6
y-8zugipO5E	u27RU-swGTA	49.3
5uit9k0gRoE	xXGpF0ZuJw0	5.9
5uit9k0gRoE	eYepg2haGcg	38.3
nf2Z7aCbpwo	CvBfHwUxHIk	5.8
nf2Z7aCbpwo	ekh3QoUvPHw	6.3
SH7YS24rto8	ZPUZwriSX4M	65.7
TOn04wCFXMA	KQ6zr6kCPj8	nan
nf2Z7aCbpwo	bWXazVhlyxQ	nan
y-8zugipO5E	WCAnj_7hJAg	5.8
Gjav3WZFqXw	Sru-CmKZQZQ	16.8
y-8zugipO5E	ZWvU8JuFxwA	39.7
Qv872Cm4Mzs	G4lTMOmH8Dw	7.4
nf2Z7aCbpwo	PAAvNmoqDq0	6.1
WVgYOaERNj4	59nGAJKB6a4	6.0
0FVqEeHi5Jk	9cArxGv_m8k	6.4
5uit9k0gRoE	zWjhFw_e7mA	6.3
F3UxOPfvaqU	4tQ5MhJ5Y5Y	5.2
IRTdukRRHAk	oTTv4FwC760	nan
HFa9aW_mSww	28jwNCq7Bas	8.8
FJfgmq49k7A	q8CZADZvr84	6.1
rOz7fIQt9x0	F5mfXMlpcro	6.1
5uit9k0gRoE	496q2ERz_MI	8.2
5uit9k0gRoE	PDn3XSh3ywE	28.6
7Z1yBxTUvU4	dD5ATqtVB_k	5.9
5uit9k0gRoE	jZBwtywWx7o	15.7
RQmVjKd1hMk	ACNJ6wt33Fc	14.4
WVgYOaERNj4	av329x5x5O8	23.6
TOn04wCFXMA	Izl7ylA5G24	9.3
eIyB_V3Bpig	2nFfxah8RO8	9.1
4BD7TdTGYSs	Z-s0Z2aBia4	6.5
p3UI4bwsuTI	Tm88QAI8I5A	6.4
Jx9MFSYExK0	PArFoeAMnJc	6.5
nBRXWkcXLAY	wefi_xoTiBk	nan
3Br5a1IFpBU	Y5vuqNI7ZUw	5.9
7ldX4viB8j0	deEsVF8e2hI	6.0
WVgYOaERNj4	xa9-wnY_BYg	5.6
Qv872Cm4Mzs	c8ssTuLdke8	7.3
TOn04wCFXMA	rqaMG60U7e4	7.7
O_9HWL3cCPY	-YzDsDMYqdw	22.2
uwQIj6GGJgs	J7rwXNPTgP4	5.9
WVgYOaERNj4	GDK59yrkfmw	6.2
3Br5a1IFpBU	NM60W_yWSZM	5.6
WVgYOaERNj4	Upqy6FHV_cM	5.9
iualurzsOz4	E3h-CCUYwMQ	5.6
m8bu92ZKvuE	CPBXUgNvcX8	nan
5uit9k0gRoE	Ukgy4aTbjI0	11.4
egs0YUntY7w	Ukgy4aTbjI0	7.6
AMesjLk6B0U	o-Lzyb2o5dY	5.7
8zRRSVLTA7A	c0EWJUiYqQs	8.0
X1M-9hGo2pA	VXF06lobATY	nan
3Br5a1IFpBU	qwwr_4JrKMs	125.9
y-8zugipO5E	96HMMm8sJsc	5.8
m8bu92ZKvuE	5k7JGaYYr70	12.0
9NPMkhwfvDY	yMu0NyIaKd4	5.7
nf2Z7aCbpwo	04WvMQmBZM8	nan
bu2ht9c-FFU	SBjQ9tuuTJQ	nan
TOn04wCFXMA	3PN4AWOJIM0	6.0
WVgYOaERNj4	CjYHH86KFG0	6.1
TOn04wCFXMA	4e4XY7USo2k	13.1
WVgYOaERNj4	heJpPa9-be4	nan
WVgYOaERNj4	J4TM9J08Cqo	5.7
5uit9k0gRoE	hs8y3kneqrs	5.8
p3UI4bwsuTI	Jcwsfns7KPQ	6.9
Gjav3WZFqXw	CVThNMjHEm4	nan
7ldX4viB8j0	8oYfdkaYmNE	nan
9NPMkhwfvDY	CkmIbjJr1n0	5.9
9NPMkhwfvDY	CPBXUgNvcX8	7.8
uwQIj6GGJgs	4_NcOEQl3f8	5.9
egs0YUntY7w	k4l3PAKdQCo	6.5
SH7YS24rto8	nAuM26tkKZY	252.6
7ldX4viB8j0	l-DONu8kR04	nan
5uit9k0gRoE	cs5D2eUSZDY	14.0
O_25H_FDGXE	1G2Zw8BXHXU	5.8
y-8zugipO5E	MPgL9yvK9kw	6.1
nf2Z7aCbpwo	8mEZzANUE0A	7.1
7ldX4viB8j0	eO_CxDbRYsA	102.5
7ldX4viB8j0	l-DONu8kR04	nan
rOz7fIQt9x0	R2r07NN21vM	25.6
LAz-ZjN2DMw	r9hZUwjzRSU	5.8
9NPMkhwfvDY	B3wg3dI0O-E	6.1
5uit9k0gRoE	OMH8AZgZIr4	7.1
nf2Z7aCbpwo	iwQZggdZrOo	6.3
5uit9k0gRoE	Pclo5R55dYI	9.5
JOPocePQVUA	LJ4AgcBj4aw	7.8
nf2Z7aCbpwo	qw2LU1yS7aw	6.2
uwQIj6GGJgs	q9k6GsmMM_w	nan
gJPaJbTfsiQ	0NVOuj5Myvw	17.0
EX0gMrGxM0M	PNu_-deVemE	5.7
5uit9k0gRoE	5VeJe-HlMos	5.9
5uit9k0gRoE	neCKzMJ4q2Y	6.4
TOn04wCFXMA	jZBwtywWx7o	27.2
Y8vh1zK9SMQ	zfMpF-zHS0M	6.9
7Z1yBxTUvU4	fz2OUoJpR7k	20.0
TOn04wCFXMA	63X5toc68rY	11.5
o65-Ud-dtXs	b9jsELTA3AM	6.4
y-8zugipO5E	YxIiPLVR6NA	5.4
NIS54Tr5Jfs	Y95v_2hA4WY	5.9
5uit9k0gRoE	0qfU9J0_jA0	11.0
WVgYOaERNj4	301s-GDML5w	5.8
gfV6VV3NcAw	Ga9Aw1e5Hy4	6.9
meTnQqTsM-M	rqH5QVFTcJM	6.7
RaVSkjzscjI	c_i7UfX3r5I	8.5
eIyB_V3Bpig	2mrAoN1fEGM	5.6
9NPMkhwfvDY	_Xt3ptQYKkU	12.0
6uFPMth3yBI	qA9fPzglAXk	27.9
5uit9k0gRoE	aO-f7OPNOgI	6.1
Gjav3WZFqXw	jjg4V-7mc1k	7.9
5uit9k0gRoE	zRIbf6JqkNc	6.5
7ldX4viB8j0	EjjCdwxYs3w	17.8
O_25H_FDGXE	nVHnv9NDWDw	16.4
5uit9k0gRoE	cyoeO6Y3SJA	80.6
eKJdcW2k048	FiDBrhHa1xU	5.5
FFkGQWxWcR8	bnv6dPQ5f88	8.8
5uit9k0gRoE	_5vL_A9N7ZA	8.4
TOn04wCFXMA	kS0hw9GF9E4	22.7
O_9HWL3cCPY	__8OqgtqYuE	30.8
Nq7NMiZfnEc	XLtRAYX6YvI	5.9
7ldX4viB8j0	DLgRTnWr3d4	nan
5uit9k0gRoE	D8Ymd-OCucs	6.3
Jx9MFSYExK0	-UUB5DW_mnM	9.5
5uit9k0gRoE	YjEqAZoBYwI	6.1
5uit9k0gRoE	SjHJO0KpH7o	7.9
7ldX4viB8j0	ZPbbgQzAxcY	6.2
5uit9k0gRoE	VQ1zj0PDSn8	5.8
WVgYOaERNj4	RCOdhASEwZ4	7.3
nf2Z7aCbpwo	xglUVJ1vk70	nan
8ZcgekiJrQc	6xxV10wZBA8	25.3
Gjav3WZFqXw	VWDjID1VJOg	6.0
5uit9k0gRoE	jUlu4o55cBA	6.5
5uit9k0gRoE	knat_CjgzUw	5.6
eIyB_V3Bpig	06I5XmzKAmg	5.5
WVgYOaERNj4	8-gKPn2KaMM	11.2
Jx9MFSYExK0	COmalqugIjk	6.0
t9jUfJmM0Z0	sqQaiWOjvQg	6.0
5uit9k0gRoE	MVCKjSeKJwg	nan
nf2Z7aCbpwo	Dff9D_tnndU	10.7
eIyB_V3Bpig	Wr9hPAtH8UU	6.2
1fMjQttld5U	-UXvw46aiK0	5.6
5uit9k0gRoE	Ga9Aw1e5Hy4	nan
YMpohx6PmQ0	pFEBvC0LHLs	8.6
JksY0WIOTT4	6fasEeGmrhU	nan
7ldX4viB8j0	nUCmpthYKPQ	nan
5uit9k0gRoE	PCHBpkaqM1Y	5.8
JksY0WIOTT4	zyC7piEbmQM	28.9
Hy0bdxeyuT0	MEyA3LHYCaE	5.8
5uit9k0gRoE	Dr8ITarqdHM	nan
egs0YUntY7w	tbTHXC2SQJg	6.0
5uit9k0gRoE	lsnJwps_cB8	83.2
5uit9k0gRoE	ggGlfgCjoRk	11.4
y-8zugipO5E	nin7_XotRNI	5.7
5uit9k0gRoE	r7cqYdLHKSU	9.2
nf2Z7aCbpwo	q9RJPTP_CJM	5.7
IeaAkUQIO10	Q6usN77Tz6E	11.7
KosEAO0b9J8	KXHRb1bR008	5.8
5uit9k0gRoE	ik3qWsbq_NQ	33.4
eIyB_V3Bpig	wRHt6EIpGM8	5.7
9NPMkhwfvDY	R_KRARx-MQE	5.9
i6WMg4DkhZ0	Sp3984yt6_A	nan
9NPMkhwfvDY	UEeXBnOE9qI	6.4
7ldX4viB8j0	d3sA5plF6kE	23.9
TOn04wCFXMA	z9dSH8cMLXw	6.8
ESy2RLplmu0	hxcJzihj5pw	11.1
5uit9k0gRoE	QjqX9pGmIM8	nan
TOn04wCFXMA	bQXt0jg_HGI	6.6
KvA1H4LQ2Ks	g11Ugx86SLQ	6.5
5uit9k0gRoE	jT6Q2Pl7pGc	7.8
5uit9k0gRoE	2srLgJAXPgs	5.9
5uit9k0gRoE	XfsKVOuEyow	6.6
7ldX4viB8j0	LMv9eCY9GiM	9.2
5uit9k0gRoE	Qev-i9-VKlY	7.8
5uit9k0gRoE	-gRj-HCnKaY	12.0
KvA1H4LQ2Ks	byLTb2i8r7E	6.1
_rh7QfOUyyI	h5d0oCysFLY	9.6
Gjav3WZFqXw	Kgry_0cmpw8	5.6
nf2Z7aCbpwo	lBeiuZ933uw	6.1
5uit9k0gRoE	PNu_-deVemE	5.6
9NPMkhwfvDY	ejuWFo1KIaw	6.0
5uit9k0gRoE	TVlgyDtg25U	14.7
-urZLMnGjQQ	27TT85GA9VM	24.6
O_25H_FDGXE	lIZlWU-1dLM	nan
gfV6VV3NcAw	ruu4QPIVaM8	28.2
5uit9k0gRoE	Sx7hSFDINOw	6.1
nf2Z7aCbpwo	max9FpuEk2A	5.6
6uFPMth3yBI	s6HW0DxJXQE	7.3
kOE2251CQaU	XDM_P-zFCUo	6.1
TOn04wCFXMA	Z6RN5Rn1z-0	5.8
9NPMkhwfvDY	2e3CFIHCe8M	6.1
JOPocePQVUA	LUn5u2SWWKw	5.6
TOn04wCFXMA	5NV6Rdv1a3I	5.9
y-8zugipO5E	JfiRzcBIIYA	6.0
5uit9k0gRoE	wbnE60FeWNE	nan
5uit9k0gRoE	ZUAtt-SM1qw	11.2
SH7YS24rto8	se5hgdO5GEo	242.2
5uit9k0gRoE	AfEDbS28RQo	13.5
5uit9k0gRoE	oEEoHxJO5jA	5.9
TOn04wCFXMA	L2UWklkde74	14.9
5uit9k0gRoE	UYg1cucaFa0	6.4
9NPMkhwfvDY	Wz1w3DpMPzs	24.8
zqgpy_dnx9E	zUzd9KyIDrM	5.7
5uit9k0gRoE	yTw4KkyJT0Q	9.3
nf2Z7aCbpwo	TZwq3hhNvtc	5.3
nf2Z7aCbpwo	Ldu2-h3i3sg	nan
5uit9k0gRoE	Rb0UmrCXxVA	21.6
7ldX4viB8j0	MvHBIPD6kCM	nan
nf2Z7aCbpwo	D0Dm2azfAEc	6.1
7ldX4viB8j0	wbjSdbClAEo	12.0
xfAQjbF5KJQ	yCto3PCn8wo	nan
7ldX4viB8j0	t9MscVGYSA0	5.6
O_25H_FDGXE	BW9Fzwuf43c	5.9
Jx9MFSYExK0	-5O28Ia_1Eg	9.1
IYrJ3ASs-es	5KlN9ujUw0s	nan
nf2Z7aCbpwo	AsFqe9i0qmg	13.0
7ldX4viB8j0	D2EuC5FMEGA	5.8
Gjav3WZFqXw	sMumzBJJBaI	7.6
TOn04wCFXMA	oGTbn-pMCMo	6.5
7ldX4viB8j0	TZwq3hhNvtc	5.3
WVgYOaERNj4	y6Sxv-sUYtM	6.0
fZ2VtFtfZ0s	09pna-4PTJk	6.2
WVgYOaERNj4	uNSBq6hvU1s	5.7
5uit9k0gRoE	ENP9PsMvQVs	nan
gfV6VV3NcAw	wXpS0eArMVQ	5.8
TOn04wCFXMA	Ja_f1OmHUkM	7.6
5uit9k0gRoE	X-KpLX8TA-8	6.4
Gb6Q3LVHhms	09pna-4PTJk	6.2
5uit9k0gRoE	Cd_2am7kEDA	6.2
m8bu92ZKvuE	-4G4VJBxuME	5.9
dbNTMTEAOcU	zn582iyWW6s	10.1
_rh7QfOUyyI	avBPNZzuusk	6.4
y-8zugipO5E	5KlN9ujUw0s	44.6
Gjav3WZFqXw	o1RrwPdIsN0	5.4
9NPMkhwfvDY	E_AnLpUO8Hc	6.0
Cnf4kku3nlQ	eEw1QqxNWAU	5.8
HFa9aW_mSww	V2Y9KrxQSMc	24.0
